patient_id,nombre,apellido,genero,fecha_nacimiento,tipo_sangre,lat,lng,comuna,barrio,direccion,telefono,email,documento,ips_asignada,condicion_preexistente,fhir_patient_id
pat-2786,Óscar,Bautista,male,1977-10-24,O+,3.411834,-76.573363,18,Cañaveralejo,Cr. 57X # 65-1,931 63 83,óscar.bautista2786@gmail.com,27370722,ips-vip-039,artritis,Patient/pat-2786
pat-0365,Rafael,Mora,male,1980-11-23,B+,3.47872,-76.518444,3,Centenario,Dg. 140 # 1-72 Sur,493 00 18,rafael.mora365@gmail.com,30796389,ips-cps-040,diabetes tipo 2,Patient/pat-0365
pat-0577,Francy,Gutiérrez,female,1986-03-05,B-,3.46177,-76.559736,4,Flores,Cl. 65 Este # 7-25 Este,+573063090998,francy.gutiérrez577@gmail.com,59755172,ips-pro-013,artritis,Patient/pat-0577
pat-1938,David,Londoño,male,1959-11-05,AB+,3.416859,-76.501506,13,Agua Blanca,Av. carrera 45 # 75-92,57 300 123 77 55,david.londoño1938@gmail.com,40626070,ips-elo-028,EPOC,Patient/pat-1938
pat-2207,Nataly,Restrepo,female,1943-02-22,O-,3.373098,-76.518336,14,El Rodeo,Cl. 10 # 49Y-86 Sur,573189825537,nataly.restrepo2207@gmail.com,34635056,ips-sur-016,cardiopatía,Patient/pat-2207
pat-1426,Liliana,Bonilla,female,1987-02-03,A-,3.436741,-76.546304,9,Los Libertadores,Carrera 147 # 7-12 Sur,01 8007 540 415,liliana.bonilla1426@gmail.com,10551617,ips-sjs-004,ninguna,Patient/pat-1426
pat-1218,Alejandra,Prieto,female,1965-09-12,B-,3.475736,-76.521492,8,Libertadores,Carrera 39 # 20-2,(+57) 316 883 54 73,alejandra.prieto1218@gmail.com,45296615,ips-col-017,diabetes tipo 2,Patient/pat-1218
pat-0250,Marlene,Murcia,female,1986-06-06,B-,3.486799,-76.521458,2,Chipichape,Cl. 101Q # 4-4 Sur,+573071127025,marlene.murcia250@gmail.com,95445405,ips-cuc-014,asma,Patient/pat-0250
pat-1116,Libia,Ochoa,female,1964-03-28,A-,3.448809,-76.542971,8,Libertadores,Avenida Vargas # 1U-9,57 607 324 00 62,libia.ochoa1116@gmail.com,67108220,ips-col-017,EPOC,Patient/pat-1116
pat-2799,José,Gutiérrez,male,1986-04-21,A+,3.414817,-76.571736,18,Cañaveralejo,Cl. 197 # 3-23 Sur,576092676364,josé.gutiérrez2799@gmail.com,94438474,ips-vip-039,diabetes tipo 2,Patient/pat-2799
pat-0041,Jaime,Pérez,male,1953-01-17,AB-,3.510731,-76.48821,1,El Oriente,Cr. 164 Sur # 75-8,+57 315 053 78 62,jaime.pérez41@gmail.com,42614537,ips-alb-024,cardiopatía,Patient/pat-0041
pat-0108,Inés,Jiménez,female,1984-09-27,A-,3.503682,-76.512624,1,El Oriente,Transversal 60 # 11-86,3074295015,inés.jiménez108@gmail.com,41523529,ips-alb-024,ninguna,Patient/pat-0108
pat-2976,Joaquín,Correa,male,1960-02-16,O+,3.452518,-76.526526,19,El Calvario,Cr. 172F Sur # 5-6,57 322 650 44 15,joaquín.correa2976@gmail.com,53449866,ips-huc-001,insuficiencia renal,Patient/pat-2976
pat-0131,Marisol,Castro,female,1977-07-30,AB-,3.486511,-76.528686,2,Chipichape,Carrera 10K Sur # 2J-55 Sur,(+57) 312 691 59 53,marisol.castro131@gmail.com,13895645,ips-cuc-014,insuficiencia renal,Patient/pat-0131
pat-1280,Sandra,Cuéllar,female,1990-05-30,B-,3.440496,-76.53483,9,Los Libertadores,Carrera 16 # 37-63 Este,6056624340,sandra.cuéllar1280@gmail.com,85584002,ips-sjs-004,ninguna,Patient/pat-1280
pat-0731,Alberto,Espitia,male,1965-05-20,AB+,3.449862,-76.548936,5,Guayaquil,Cr. 37 # 69-2,576084016543,alberto.espitia731@gmail.com,86286724,ips-col-017,insuficiencia renal,Patient/pat-0731
pat-0768,Carlos,Agudelo,male,1971-08-03,AB+,3.493238,-76.497447,6,Santa Isabel,Cr. 4ª # 4X-25 Este,(+57)6085743235,carlos.agudelo768@gmail.com,76038997,ips-nor-011,hipertensión,Patient/pat-0768
pat-3234,Leonor,Vanegas,female,1980-10-22,AB-,3.358861,-76.502603,21,Desepaz,Cl. 61Z # 99-90 Sur,57 322 026 27 10,leonor.vanegas3234@gmail.com,31895055,ips-pmd-036,EPOC,Patient/pat-3234
pat-1837,William,Ojeda,male,1986-05-10,A+,3.401304,-76.508814,13,Agua Blanca,Avenida calle 162 # 58-6,304 433 80 74,william.ojeda1837@gmail.com,87911634,ips-elo-028,EPOC,Patient/pat-1837
pat-0908,Eliana,Barragán,female,1975-08-17,O+,3.494488,-76.495067,6,Santa Isabel,Carrera 4ª # 2-5 Este,(+57)3153568451,eliana.barragán908@gmail.com,66178935,ips-nor-011,insuficiencia renal,Patient/pat-0908
pat-1573,León,Bolaños,male,1961-12-05,O+,3.417959,-76.560729,10,Caney,Cl. 132Z # 46L-4 Sur,57 316 969 73 22,león.bolaños1573@gmail.com,56688115,ips-las-015,insuficiencia renal,Patient/pat-1573
pat-2736,Alejandro,Cantillo,male,2008-12-10,O+,3.426959,-76.540133,18,Cañaveralejo,Diagonal 116V Este # 2-4 Sur,+57 305 014 01 93,alejandro.cantillo2736@gmail.com,28484302,ips-vip-039,artritis,Patient/pat-2736
pat-0111,Elías,Méndez,male,1966-02-04,AB-,3.477515,-76.497483,1,El Oriente,Calle 193 # 3-6,(+57) 607 632 69 47,elías.méndez111@gmail.com,65625330,ips-alb-024,ninguna,Patient/pat-0111
pat-1765,Luis,Giraldo,male,1994-11-11,O-,3.480533,-76.550347,12,Terrón Colorado,Diagonal 197 # 7-40 Este,573282477729,luis.giraldo1765@gmail.com,46690420,ips-pie-026,diabetes tipo 2,Patient/pat-1765
pat-2931,Shirley,Alzate,female,1980-12-20,A-,3.450593,-76.544688,19,El Calvario,Diagonal 21R # 95-3 Este,(+57)3051516364,shirley.alzate2931@gmail.com,39855629,ips-huc-001,diabetes tipo 2,Patient/pat-2931
pat-1552,Eduardo,Restrepo,male,1980-03-31,AB-,3.425634,-76.555687,10,Caney,Calle 9ª # 8-9 Este,604 608 18 80,eduardo.restrepo1552@gmail.com,82016051,ips-las-015,EPOC,Patient/pat-1552
pat-0520,Cristina,Bejarano,female,1998-03-05,B-,3.463034,-76.522425,4,Flores,Calle 179H # 4-32 Este,57 325 407 14 30,cristina.bejarano520@gmail.com,69959826,ips-pro-013,ninguna,Patient/pat-0520
pat-0382,Andrea,Mena,female,1975-11-12,B-,3.474062,-76.530536,3,Centenario,Calle 93 # 9-87,304 163 19 06,andrea.mena382@gmail.com,13783268,ips-cps-040,artritis,Patient/pat-0382
pat-0700,Andrea,Delgado,female,1988-03-01,A+,3.458372,-76.568545,5,Guayaquil,Avenida calle 29 # 4-32,(+57)6076395831,andrea.delgado700@gmail.com,22501261,ips-col-017,cardiopatía,Patient/pat-0700
pat-0803,Gloria,Jaramillo,female,1974-10-13,AB+,3.477992,-76.534651,6,Santa Isabel,Cr. 75 # 20-31 Sur,576079308699,gloria.jaramillo803@gmail.com,46297263,ips-nor-011,EPOC,Patient/pat-0803
pat-0871,Andrés,Pérez,male,1964-07-08,O+,3.490619,-76.507152,6,Santa Isabel,Calle 4ª # 62-1,+57 310 471 38 38,andrés.pérez871@gmail.com,81891508,ips-nor-011,artritis,Patient/pat-0871
pat-0524,Rosa,Becerra,female,1953-08-19,O+,3.451469,-76.526227,4,Flores,Carrera 76 # 28-4 Sur,57 306 790 32 83,rosa.becerra524@gmail.com,31436829,ips-pro-013,insuficiencia renal,Patient/pat-0524
pat-0146,Edinson,Gaviria,male,1984-05-10,O+,3.490762,-76.520339,2,Chipichape,Cr. 57 # 8-5 Sur,+57 604 830 74 24,edinson.gaviria146@gmail.com,87282128,ips-cuc-014,insuficiencia renal,Patient/pat-0146
pat-0155,Eliana,Rincón,female,1962-12-13,O-,3.454869,-76.519305,2,Chipichape,Cr. 13 # 10-7 Sur,+57 328 991 77 55,eliana.rincón155@gmail.com,42949803,ips-cuc-014,diabetes tipo 2,Patient/pat-0155
pat-2342,Víctor,Moreno,male,1995-01-05,A-,3.39065,-76.515907,15,Navarro,Cr. 36 # 26-23 Este,57 608 208 10 27,víctor.moreno2342@gmail.com,46255595,ips-nav-025,diabetes tipo 2,Patient/pat-2342
pat-2526,Jeisson,Marín,male,1968-12-16,AB+,3.336605,-76.536236,17,Meléndez,Avenida carrera 4ª # 97-4 Este,6344750,jeisson.marín2526@gmail.com,74015552,ips-clv-002,ninguna,Patient/pat-2526
pat-0630,Manuel,Castro,male,1983-10-11,AB-,3.456941,-76.545442,5,Guayaquil,Cl. 96 # 29T-24 Sur,57 307 387 37 75,manuel.castro630@gmail.com,24357588,ips-col-017,EPOC,Patient/pat-0630
pat-0740,Anderson,Galindo,male,1992-11-12,B-,3.449114,-76.53487,5,Guayaquil,Calle 62V # 6-9 Sur,57 302 635 24 52,anderson.galindo740@gmail.com,21571285,ips-col-017,insuficiencia renal,Patient/pat-0740
pat-1450,Blanca,Franco,female,1977-11-11,O-,3.428532,-76.534347,9,Los Libertadores,Carrera 4ª # 81-41 Sur,57 305 976 32 74,blanca.franco1450@gmail.com,91126594,ips-sjs-004,ninguna,Patient/pat-1450
pat-0995,Alexis,Luna,male,1999-08-10,AB-,3.466201,-76.565831,7,Alcázares,Avenida calle 8ª # 6-8 Este,+57 306 587 43 95,alexis.luna995@gmail.com,10582186,ips-pie-026,ninguna,Patient/pat-0995
pat-2483,Carolina,Orozco,female,1978-03-15,O+,3.367229,-76.527053,16,El Jardín,Carrera 43 # 57K-2,601 685 03 71,carolina.orozco2483@gmail.com,29416986,ips-sil-022,diabetes tipo 2,Patient/pat-2483
pat-0060,Edgardo,Escobar,male,1991-12-26,AB+,3.513694,-76.490833,1,El Oriente,Calle 8ª # 73-39,573212070038,edgardo.escobar60@gmail.com,26090908,ips-alb-024,ninguna,Patient/pat-0060
pat-0609,Milena,Hernández,female,1976-03-09,B-,3.450779,-76.574704,5,Guayaquil,Cl. 24U Bis # 1-9 Sur,57 607 638 27 98,milena.hernández609@gmail.com,20202996,ips-col-017,artritis,Patient/pat-0609
pat-2066,Yesid,Serna,male,1968-04-12,A-,3.410665,-76.50442,13,Agua Blanca,Tr. 121R Bis # 80A-31 Sur,(+57) 303 132 43 48,yesid.serna2066@gmail.com,11649345,ips-elo-028,ninguna,Patient/pat-2066
pat-1360,Camilo,Luna,male,1988-05-25,B-,3.439974,-76.533218,9,Los Libertadores,Carrera 5ª # 67-69,+57 328 677 75 51,camilo.luna1360@gmail.com,79619091,ips-sjs-004,ninguna,Patient/pat-1360
pat-3327,Enrique,Ceballos,male,1982-08-17,B-,3.383905,-76.478178,21,Desepaz,Av. calle 118 # 9-7 Sur,1984063,enrique.ceballos3327@gmail.com,40363191,ips-pmd-036,ninguna,Patient/pat-3327
pat-0860,Carmen,Torres,female,1952-10-01,AB-,3.487731,-76.5269,6,Santa Isabel,Av. carrera 96 # 7-92 Sur,+57 314 724 43 99,carmen.torres860@gmail.com,86868410,ips-nor-011,asma,Patient/pat-0860
pat-2046,Andrés,Cárdenas,male,1968-07-19,A+,3.433205,-76.505078,13,Agua Blanca,Carrera 170 Sur # 21-64,(+57)3238556370,andrés.cárdenas2046@gmail.com,47303539,ips-elo-028,insuficiencia renal,Patient/pat-2046
pat-2432,Francy,Díaz,female,1986-05-08,AB+,3.375265,-76.514308,16,El Jardín,Transversal 76 # 23-2 Sur,+576098447466,francy.díaz2432@gmail.com,63801036,ips-sil-022,ninguna,Patient/pat-2432
pat-0069,Lorena,Gil,female,1985-01-12,O+,3.50602,-76.525616,1,El Oriente,Calle 6ª # 4-6,(+57)3142887134,lorena.gil69@gmail.com,92097999,ips-alb-024,ninguna,Patient/pat-0069
pat-0622,Margarita,Barragán,female,1960-12-20,AB+,3.43822,-76.543954,5,Guayaquil,Avenida calle 92 # 57-2 Sur,57 604 225 07 79,margarita.barragán622@gmail.com,11656329,ips-col-017,ninguna,Patient/pat-0622
pat-0467,Nelly,Muñoz,female,1978-03-31,O-,3.461482,-76.553157,4,Flores,Calle 8M Este # 88-3 Sur,+57 302 731 16 47,nelly.muñoz467@gmail.com,64123845,ips-pro-013,artritis,Patient/pat-0467
pat-0519,María,Molina,female,1989-03-03,B-,3.446411,-76.543683,4,Flores,Calle 135 # 7-3 Sur,(+57)6043428988,maría.molina519@gmail.com,10916723,ips-pro-013,ninguna,Patient/pat-0519
pat-1057,Jesús,Romero,male,1962-12-29,AB+,3.469424,-76.536267,7,Alcázares,Cl. 37 # 9V-22,+573004561204,jesús.romero1057@gmail.com,96695458,ips-pie-026,ninguna,Patient/pat-1057
pat-1703,José,Hernández,male,1991-11-28,A-,3.470987,-76.568283,12,Terrón Colorado,Cr. 86 # 70-2 Este,(+57) 312 922 11 55,josé.hernández1703@gmail.com,90771151,ips-pie-026,asma,Patient/pat-1703
pat-3043,Jairo,Velásquez,male,1989-05-16,B+,3.440365,-76.545622,19,El Calvario,Av. Huila # 4-4,018002619905,jairo.velásquez3043@gmail.com,33744145,ips-huc-001,EPOC,Patient/pat-3043
pat-3163,María,Martínez,female,1996-10-04,O+,3.474509,-76.524563,20,Marroquín,Carrera 66E # 43-96 Este,+573092987989,maría.martínez3163@gmail.com,52869611,ips-pie-026,artritis,Patient/pat-3163
pat-1345,Susana,Orozco,female,1991-09-03,AB-,3.427973,-76.542968,9,Los Libertadores,Diagonal 17 # 5-62,576013081524,susana.orozco1345@gmail.com,95476210,ips-sjs-004,ninguna,Patient/pat-1345
pat-2278,Jairo,Garzón,male,2012-10-27,O-,3.385645,-76.521873,14,El Rodeo,Diagonal 48 # 1D-7 Este,018006594314,jairo.garzón2278@gmail.com,40038761,ips-sur-016,ninguna,Patient/pat-2278
pat-2062,Jairo,Narváez,male,1959-10-19,AB+,3.413409,-76.51379,13,Agua Blanca,Calle 102 Bis # 1-74 Este,609 800 63 86,jairo.narváez2062@gmail.com,41287760,ips-elo-028,ninguna,Patient/pat-2062
pat-3157,Mayra,Ramírez,female,1977-06-21,A+,3.461854,-76.545758,20,Marroquín,Diagonal 1ª # 10-56,(+57)3100142187,mayra.ramírez3157@gmail.com,48102759,ips-pie-026,ninguna,Patient/pat-3157
pat-2362,Alejandro,Valencia,male,1998-10-11,A+,3.383792,-76.53509,15,Navarro,Carrera 39 # 9-4,+57 608 991 45 23,alejandro.valencia2362@gmail.com,21352822,ips-nav-025,ninguna,Patient/pat-2362
pat-1594,Diego,Ayala,male,1978-08-21,AB-,3.422427,-76.546914,11,El Real,Av. Gómez # 1-9,576016532217,diego.ayala1594@gmail.com,71549421,ips-gua-029,insuficiencia renal,Patient/pat-1594
pat-1127,Mercedes,Villa,female,1943-01-31,AB+,3.465686,-76.528415,8,Libertadores,Avenida carrera 18 # 84Q-11 Sur,(+57)3075027524,mercedes.villa1127@gmail.com,28531242,ips-col-017,diabetes tipo 2,Patient/pat-1127
pat-2111,Julieth,Gil,female,1964-11-09,O-,3.396962,-76.53602,13,Agua Blanca,Dg. 111 Este # 1-71,573296714275,julieth.gil2111@gmail.com,40893911,ips-elo-028,ninguna,Patient/pat-2111
pat-0903,Víctor,Pinto,male,1981-05-22,O-,3.483461,-76.508108,6,Santa Isabel,Cr. 59S # 5-5 Sur,3262912671,víctor.pinto903@gmail.com,47108953,ips-nor-011,artritis,Patient/pat-0903
pat-0980,Andrés,Agudelo,male,1975-08-23,AB-,3.475555,-76.522276,7,Alcázares,Cr. 46 # 9-7 Sur,(+57)3222165920,andrés.agudelo980@gmail.com,97694240,ips-pie-026,hipertensión,Patient/pat-0980
pat-2023,Candelaria,Cárdenas,female,1982-05-31,O+,3.426416,-76.526531,13,Agua Blanca,Calle 4ª # 9-2 Este,327 336 86 37,candelaria.cárdenas2023@gmail.com,43007935,ips-elo-028,artritis,Patient/pat-2023
pat-2434,Luis,Vera,male,1958-10-19,B-,3.358918,-76.53261,16,El Jardín,Cl. 3ª # 78-6,304 745 19 19,luis.vera2434@gmail.com,89472028,ips-sil-022,hipertensión,Patient/pat-2434
pat-2083,Emilce,Loaiza,female,1989-01-13,B-,3.415017,-76.495617,13,Agua Blanca,Carrera 115 # 74-63,(+57)3183063389,emilce.loaiza2083@gmail.com,63729043,ips-elo-028,EPOC,Patient/pat-2083
pat-2737,Nubia,Hernández,female,1941-05-08,B+,3.410715,-76.562895,18,Cañaveralejo,Av. San Pablo # 1-14,(+57) 303 763 03 89,nubia.hernández2737@gmail.com,21543189,ips-vip-039,ninguna,Patient/pat-2737
pat-2811,Smith,Rodríguez,male,1971-11-26,O+,3.411035,-76.538319,18,Cañaveralejo,Cr. 31 # 20-37,57 314 288 25 45,smith.rodríguez2811@gmail.com,20036415,ips-vip-039,ninguna,Patient/pat-2811
pat-2268,Dary,Hurtado,female,1981-05-18,AB+,3.387688,-76.526823,14,El Rodeo,Diagonal 69 # 99-6 Este,(+57) 301 507 28 15,dary.hurtado2268@gmail.com,73904001,ips-sur-016,diabetes tipo 2,Patient/pat-2268
pat-1824,Lady,Quiroga,female,1973-02-10,O+,3.405546,-76.513561,13,Agua Blanca,Cl. 9H Este # 88-19,279 71 07,lady.quiroga1824@gmail.com,76326127,ips-elo-028,insuficiencia renal,Patient/pat-1824
pat-2673,Carlos,Ojeda,male,1992-01-08,B-,3.428561,-76.540835,18,Cañaveralejo,Cr. 9ª # 79-6 Sur,57 309 457 89 89,carlos.ojeda2673@gmail.com,87562374,ips-vip-039,cardiopatía,Patient/pat-2673
pat-2439,Nubia,Álvarez,female,1947-02-22,B+,3.383011,-76.51739,16,El Jardín,Diagonal 11 Bis L # 4-67,307 640 76 79,nubia.álvarez2439@gmail.com,46297151,ips-sil-022,hipertensión,Patient/pat-2439
pat-1972,Oswaldo,Rojas,male,1981-11-22,AB+,3.387315,-76.517843,13,Agua Blanca,Carrera 9ª # 12-46,323 237 85 79,oswaldo.rojas1972@gmail.com,24809069,ips-elo-028,diabetes tipo 2,Patient/pat-1972
pat-0909,Ana,Pacheco,female,1978-03-15,A+,3.462792,-76.539331,6,Santa Isabel,Calle 57 # 21-9 Sur,311 699 47 92,ana.pacheco909@gmail.com,88252116,ips-nor-011,ninguna,Patient/pat-0909
pat-1600,Javier,Sandoval,male,1983-11-23,B-,3.442022,-76.528173,11,El Real,Carrera 88 # 5H-5 Sur,(+57) 311 054 96 21,javier.sandoval1600@gmail.com,53928918,ips-gua-029,insuficiencia renal,Patient/pat-1600
pat-1405,David,Muñoz,male,2010-11-09,O+,3.430936,-76.548235,9,Los Libertadores,Cr. 6ª # 95-3 Sur,319 990 49 06,david.muñoz1405@gmail.com,50303435,ips-sjs-004,ninguna,Patient/pat-1405
pat-1956,Claudia,Ruiz,female,1952-08-17,O+,3.434092,-76.49316,13,Agua Blanca,Cr. 34 # 9-1 Sur,+573154700282,claudia.ruiz1956@gmail.com,86830962,ips-elo-028,hipertensión,Patient/pat-1956
pat-3284,Consuelo,Niño,female,1981-12-21,B-,3.398485,-76.449809,21,Desepaz,Av. carrera 8ª # 7G-6 Sur,576049099688,consuelo.niño3284@gmail.com,87099818,ips-pmd-036,artritis,Patient/pat-3284
pat-1650,Luis,Rincón,male,1972-03-09,AB-,3.438382,-76.52697,11,El Real,Cr. 22 # 91Z-4 Sur,609 503 94 41,luis.rincón1650@gmail.com,55457454,ips-gua-029,diabetes tipo 2,Patient/pat-1650
pat-2400,Leonardo,Mena,male,1971-01-27,B-,3.391072,-76.54462,15,Navarro,Cr. 40 # 47T-1 Sur,6024718099,leonardo.mena2400@gmail.com,47733815,ips-nav-025,diabetes tipo 2,Patient/pat-2400
pat-3101,Carlos,Peña,male,1998-04-21,B-,3.473177,-76.5398,20,Marroquín,Cl. 179 # 3-47 Este,+57 315 452 99 16,carlos.peña3101@gmail.com,91674485,ips-pie-026,EPOC,Patient/pat-3101
pat-1234,Teresa,Guerrero,female,1966-09-23,A+,3.441813,-76.526068,9,Los Libertadores,Carrera 31H # 29-4,301 784 02 52,teresa.guerrero1234@gmail.com,26369402,ips-sjs-004,asma,Patient/pat-1234
pat-1539,Eduardo,Silva,male,1938-09-22,AB+,3.423332,-76.57943,10,Caney,Transversal 56 # 9-42,573120482080,eduardo.silva1539@gmail.com,74701849,ips-las-015,diabetes tipo 2,Patient/pat-1539
pat-0695,Eduardo,Gutiérrez,male,2010-02-12,B-,3.458825,-76.554099,5,Guayaquil,Carrera 43 # 9-8,3192425088,eduardo.gutiérrez695@gmail.com,29628462,ips-col-017,artritis,Patient/pat-0695
pat-2978,Edwar,Salazar,male,1982-09-19,A-,3.443995,-76.515542,19,El Calvario,Cr. 49 # 70-7 Este,(+57) 318 841 87 98,edwar.salazar2978@gmail.com,45469712,ips-huc-001,ninguna,Patient/pat-2978
pat-3460,Luz,Jiménez,female,1991-01-11,A+,3.397991,-76.518724,22,El Pueblo,Carrera 68I Sur # 35-9 Sur,573153084042,luz.jiménez3460@gmail.com,58093085,ips-agu-021,hipertensión,Patient/pat-3460
pat-2056,Carolina,Gómez,female,1963-04-03,A-,3.416985,-76.519073,13,Agua Blanca,Av. calle 11 # 1S-1 Este,3261495092,carolina.gómez2056@gmail.com,93932889,ips-elo-028,cardiopatía,Patient/pat-2056
pat-1390,Marino,Morales,male,1983-03-03,A-,3.423811,-76.515795,9,Los Libertadores,Cr. 61 # 4-92,327 119 57 71,marino.morales1390@gmail.com,50170625,ips-sjs-004,artritis,Patient/pat-1390
pat-0115,Cecilia,Mesa,female,1982-01-21,A+,3.499095,-76.490699,1,El Oriente,Cl. 181L Bis V # 14-9 Este,+573086839446,cecilia.mesa115@gmail.com,84813739,ips-alb-024,asma,Patient/pat-0115
pat-0993,Patricia,Contreras,female,2004-12-23,A-,3.445099,-76.541396,7,Alcázares,Calle 111I Este # 7-7 Sur,3151774862,patricia.contreras993@gmail.com,65629268,ips-pie-026,hipertensión,Patient/pat-0993
pat-2319,Steven,Bedoya,male,1988-11-11,B+,3.387092,-76.499197,15,Navarro,Calle 1ª # 23-75,757 58 88,steven.bedoya2319@gmail.com,64402540,ips-nav-025,hipertensión,Patient/pat-2319
pat-1675,Diego,Valencia,male,1984-02-02,A-,3.435979,-76.556055,11,El Real,Calle 49 # 59-5 Sur,310 209 33 12,diego.valencia1675@gmail.com,47207440,ips-gua-029,cardiopatía,Patient/pat-1675
pat-1041,Milena,Castro,female,1999-05-02,A-,3.462752,-76.525527,7,Alcázares,Carrera 184 # 6-89 Sur,57 312 489 12 33,milena.castro1041@gmail.com,30636590,ips-pie-026,hipertensión,Patient/pat-1041
pat-3330,Graciela,Mendoza,female,1947-07-19,B+,3.399876,-76.513835,21,Desepaz,Cl. 49 # 57I-70 Este,3243901923,graciela.mendoza3330@gmail.com,87761531,ips-pmd-036,hipertensión,Patient/pat-3330
pat-3488,Yuli,Camacho,female,1964-03-12,A-,3.410658,-76.464863,22,El Pueblo,Calle 7W Este # 6-2 Este,+57 327 736 96 70,yuli.camacho3488@gmail.com,34609969,ips-agu-021,ninguna,Patient/pat-3488
pat-0659,Katerine,Granados,female,1979-02-11,AB-,3.46461,-76.531948,5,Guayaquil,Cr. 1 Bis E # 9-6,+573146144315,katerine.granados659@gmail.com,41119124,ips-col-017,insuficiencia renal,Patient/pat-0659
